,year,month,day,week,start_hour,start_min,end_hour,end_min,total_hour,total_min,note
0,2024,3,11,11,10,13,12,29,2,16,
1,2024,3,12,11,9,9,15,41,6,32,
2,2024,3,14,11,10,47,17,32,6,45,
3,2024,3,18,12,10,26,12,47,2,21,
4,2024,3,18,12,18,43,20,54,2,11,
5,2024,3,19,12,10,55,15,44,4,49,
6,2024,3,20,12,11,31,17,40,6,9,
7,2024,3,21,12,13,39,18,9,4,30,
8,2024,3,29,13,9,25,18,0,8,35,
9,2024,3,30,13,12,56,18,52,5,56,
10,2024,4,2,14,12,56,16,41,3,45,
11,2024,4,3,14,13,15,17,2,3,47,
12,2024,4,4,14,0,0,0,0,7,0,4.4. 봇 업데이트로 인한 추가 1116 ~ 1757
13,2024,4,8,15,9,16,13,2,3,46,
14,2024,4,9,15,10,40,17,40,7,0,퇴근을 못눌러서 직접 추가함
15,2024,4,11,15,10,32,16,22,5,50,
16,2024,4,12,15,10,20,16,51,6,31,
17,2024,4,16,16,10,50,16,10,5,20,
18,2024,4,17,16,13,22,20,46,7,24,
19,2024,4,17,16,0,0,0,0,-4,0,퇴근 늦게찍음
20,2024,4,18,16,12,2,18,26,6,24,
21,2024,4,23,17,11,36,16,56,5,20,
22,2024,4,24,17,10,48,17,30,6,42,
23,2024,4,25,17,13,43,20,24,6,41,
24,2024,4,26,17,11,4,13,44,2,40,
25,2024,4,30,18,10,33,17,37,7,4,
26,2024,5,2,18,10,48,18,54,8,6,
27,2024,5,7,19,12,29,18,8,5,39,
28,2024,5,8,19,12,54,18,19,5,25,
29,2024,5,14,20,13,37,18,46,5,9,
30,2024,5,16,20,12,0,18,32,6,32,
31,2024,5,17,20,9,18,12,57,3,39,
32,2024,5,20,21,11,41,13,14,1,33,
33,2024,5,21,21,13,4,16,24,3,20,
34,2024,5,22,21,13,30,20,57,7,27,
35,2024,5,22,21,0,0,0,0,-3,0,퇴근 늦게찍음
36,2024,5,23,21,12,43,20,17,7,34,
37,2024,5,23,21,0,0,0,0,-1,0,퇴근 늦게찍음
38,2024,5,27,22,14,49,18,59,4,10,
39,2024,5,31,22,12,2,21,0,8,58,
40,2024,5,31,22,0,0,0,0,-3,0,퇴근늦게 누름
41,2024,6,4,23,0,0,0,0,2,0,6.3 출근안눌렀음
42,2024,6,4,23,13,23,17,50,4,27,
43,2024,6,5,23,12,50,17,55,5,5,
44,2024,6,11,24,15,25,21,0,5,35,
45,2024,6,11,24,0,0,0,0,-2,0,퇴근 늦게찍음
46,2024,6,13,24,13,0,18,15,5,15,
47,2024,6,17,25,11,33,18,41,7,8,
48,2024,6,18,25,14,47,17,19,2,32,
49,2024,6,20,25,12,54,18,13,5,19,
50,2024,6,24,26,13,13,17,28,4,15,
51,2024,6,25,26,10,58,17,49,6,51,
52,2024,6,26,26,9,30,12,25,2,55,
53,2024,6,27,26,14,42,21,0,6,18,
54,2024,6,28,26,0,0,0,0,6,0,출근 안찍었음
55,2024,7,1,27,9,9,18,31,9,22,
56,2024,7,3,27,12,58,18,8,5,10,
57,2024,7,4,27,13,11,18,11,5,0,
58,2024,7,5,27,10,55,15,7,4,12,
59,2024,7,15,29,10,11,16,36,6,25,
60,2024,7,16,29,13,48,18,16,4,28,
61,2024,7,17,29,9,31,18,35,9,4,
62,2024,7,18,29,11,29,18,48,7,19,
63,2024,7,19,29,14,47,21,4,6,17,
64,2024,7,24,30,13,45,21,0,7,15,
65,2024,7,24,30,0,0,0,0,-3,0,퇴근안찍음
66,2024,7,25,30,10,46,16,7,5,21,
67,2024,7,29,31,10,10,18,1,7,51,
68,2024,7,30,31,13,8,18,41,5,33,
69,2024,7,31,31,9,2,17,56,8,54,
70,2024,8,1,31,9,6,14,8,5,2,
71,2024,8,5,32,9,9,15,9,6,0,
72,2024,8,6,32,9,43,15,3,5,20,
73,2024,8,7,32,9,41,14,59,5,18,
74,2024,8,8,32,9,19,16,3,6,44,
75,2024,8,9,32,9,54,14,0,4,6,
76,2024,8,12,33,9,14,15,3,5,49,
77,2024,8,14,33,9,7,16,2,6,55,
78,2024,8,16,33,9,56,16,4,6,8,
79,2024,8,19,34,9,18,16,47,7,29,
80,2024,8,20,34,9,51,17,17,7,26,
81,2024,8,21,34,10,31,15,53,5,22,
82,2024,8,22,34,9,42,16,2,6,20,
83,2024,8,23,34,10,0,17,10,7,10,
84,2024,8,26,35,10,27,20,44,10,17,
85,2024,8,27,35,10,18,18,4,7,46,
86,2024,8,28,35,8,57,17,53,8,56,
87,2024,8,29,35,9,35,15,33,5,58,
88,2024,8,30,35,10,10,18,6,7,56,
89,2024,9,2,36,9,57,20,23,10,26,
90,2024,9,2,36,0,0,0,0,-2,0,퇴근 안찍음
91,2024,9,3,36,11,18,17,44,6,26,
92,2024,9,3,36,0,0,0,0,-1,0,수업시간 안찍음
93,2024,9,4,36,11,27,18,13,6,46,
94,2024,9,6,36,12,33,15,13,2,40,
95,2024,9,9,37,10,46,18,3,5,0,
96,2024,9,10,37,9,39,18,3,8,24,
97,2024,9,10,37,0,0,0,0,-1,0,수업 안찍음
98,2024,9,11,37,11,55,19,32,7,37,
99,2024,9,11,37,0,0,0,0,-3,0,수업 안찍음
100,2024,9,12,37,9,3,23,56,14,53,
101,2024,9,13,37,9,56,14,26,4,30,
102,2024,9,20,38,10,27,17,55,7,28,
103,2024,9,23,39,9,54,18,9,8,15,
104,2024,9,23,39,0,0,0,0,-2,0,수업 안찍음
105,2024,9,24,39,9,54,19,57,10,3,
106,2024,9,24,39,0,0,0,0,-4,0,수업 안찍음
107,2024,9,27,39,11,12,17,40,6,28,
108,2024,9,30,40,10,58,17,49,6,51,
109,2024,10,2,40,8,57,21,3,12,6,
110,2024,10,2,40,0,0,0,0,-4,0,퇴근 늦게찍음
111,2024,10,7,41,10,21,18,55,8,34,
112,2024,10,7,41,0,0,0,0,-2,0,수업 안찍음
113,2024,10,8,41,10,34,20,5,9,31,
114,2024,10,8,41,0,0,0,0,1,0,출근 늦게찍음
