,year,month,day,week,start_hour,start_min,end_hour,end_min,total_hour,total_min,note
0,2024,9,2,36,10,50,18,38,7,20,
1,2024,9,3,36,10,38,19,3,4,32,
2,2024,9,4,36,0,0,0,0,1,0,
3,2024,9,4,36,10,56,18,2,7,6,
4,2024,9,5,36,10,56,18,0,4,37,
5,2024,9,9,37,16,30,18,17,1,47,
6,2024,9,10,37,12,54,18,2,5,8,
7,2024,9,11,37,12,11,21,6,6,59,
8,2024,9,12,37,13,2,18,1,2,36,
9,2024,9,19,38,9,25,14,55,5,30,
10,2024,9,19,38,0,0,0,0,-1,0,
11,2024,9,20,38,9,16,18,7,8,51,
12,2024,9,23,39,16,17,17,43,1,26,
13,2024,9,24,39,9,5,18,6,1,54,
14,2024,9,25,39,14,1,21,0,6,59,
15,2024,9,26,39,10,59,18,19,3,47,
16,2024,9,27,39,12,24,20,8,7,44,
17,2024,9,27,39,0,0,0,0,-2,0,
18,2024,9,30,40,15,57,16,53,0,56,
19,2024,10,2,40,13,38,18,39,5,1,
20,2024,10,6,40,0,0,0,0,3,0,
21,2024,10,7,41,13,3,16,29,0,43,
22,2024,10,8,41,0,0,0,0,1,0,
23,2024,10,8,41,13,1,18,6,5,5,
