,year,month,day,week,start_hour,start_min,end_hour,end_min,total_hour,total_min,note
0,2024,4,3,14,14,40,17,2,2,22,
1,2024,4,4,14,0,0,0,0,5,0,4.4.봇 업데이트로 인한 추가 1116 ~ 1635
2,2024,4,2,14,15,27,18,10,2,43,4.2봇 에러로인한 데이터 소실 추가
3,2024,4,8,15,9,16,13,0,3,44,
4,2024,4,9,15,10,49,17,45,5,45,
5,2024,4,11,15,9,16,17,10,7,54,
6,2024,4,12,15,9,10,15,10,6,0,
7,2024,4,16,16,10,19,19,11,8,52,
8,2024,4,17,16,13,17,17,2,3,45,
9,2024,4,18,16,10,8,18,0,7,52,
10,2024,4,23,17,11,36,18,57,7,21,
11,2024,4,24,17,10,47,17,30,6,43,
12,2024,4,25,17,13,46,20,25,6,39,
13,2024,4,26,17,10,57,13,34,2,37,
14,2024,4,30,18,10,34,19,51,9,17,
15,2024,5,1,18,13,9,17,56,4,47,
16,2024,5,2,18,10,46,17,15,6,29,
17,2024,5,7,19,12,28,20,49,8,21,
18,2024,5,8,19,15,59,21,5,5,6,
19,2024,5,8,19,0,0,0,0,2,0,늦게 누름
20,2024,5,8,19,0,0,0,0,-4,0,이상하게 추가함
21,2024,5,14,20,15,6,18,18,3,12,
22,2024,5,16,20,12,0,18,33,6,33,
23,2024,5,17,20,9,18,12,57,3,39,
24,2024,5,20,21,11,19,14,9,1,56,
25,2024,5,21,21,15,15,17,33,2,18,
26,2024,5,22,21,14,23,20,55,6,32,
27,2024,5,22,21,0,0,0,0,-3,0,까먹음..
28,2024,5,23,21,11,34,17,45,6,11,
29,2024,5,27,22,11,14,18,58,6,55,
30,2024,5,28,22,10,53,18,9,7,16,
31,2024,5,30,22,15,44,16,56,1,12,
32,2024,5,31,22,12,0,17,58,5,58,
33,2024,6,3,23,15,35,17,20,1,45,
34,2024,6,4,23,16,28,18,56,2,28,
35,2024,6,4,23,0,0,0,0,-1,0,까먹음...
36,2024,6,5,23,0,0,0,0,5,0,출근 까먹었습니다
37,2024,6,11,24,15,30,19,33,4,3,
38,2024,6,13,24,12,55,18,7,5,12,
39,2024,6,17,25,11,32,18,41,7,9,
40,2024,6,18,25,14,42,21,2,6,20,
41,2024,6,20,25,12,54,18,13,5,19,
42,2024,6,25,26,10,57,17,42,6,45,
43,2024,6,26,26,9,29,12,25,2,56,
44,2024,6,27,26,13,10,21,1,7,51,
45,2024,6,28,26,13,2,21,3,8,1,
46,2024,7,8,28,10,6,17,49,7,43,
47,2024,7,9,28,9,58,17,40,7,42,
48,2024,7,10,28,10,6,16,15,6,9,
49,2024,7,11,28,10,33,16,44,6,11,
50,2024,7,12,28,10,23,17,16,6,53,
51,2024,7,15,29,10,5,17,12,7,7,
52,2024,7,16,29,13,47,18,17,4,30,
53,2024,7,17,29,9,34,18,35,9,1,
54,2024,7,18,29,11,30,18,48,7,18,
55,2024,7,19,29,14,36,21,10,6,34,
56,2024,7,24,30,13,37,18,1,4,24,
57,2024,7,25,30,10,42,16,7,5,25,
58,2024,7,26,30,13,14,18,6,4,52,
59,2024,7,29,31,10,12,17,50,7,38,
60,2024,7,30,31,13,8,18,41,5,33,
61,2024,7,31,31,9,2,17,35,8,33,
62,2024,8,1,31,9,8,15,52,6,44,
63,2024,8,5,32,9,9,15,13,6,4,
64,2024,8,6,32,9,43,15,6,5,23,
65,2024,8,7,32,9,41,15,10,5,29,
66,2024,8,8,32,13,31,18,40,5,9,
67,2024,8,9,32,9,52,15,11,5,19,
68,2024,8,19,34,13,4,18,24,5,20,
69,2024,8,20,34,9,52,17,16,7,24,
70,2024,8,21,34,10,28,15,53,5,25,
71,2024,8,22,34,9,42,17,26,7,44,
72,2024,8,22,34,0,0,0,0,-1,0,
73,2024,8,23,34,10,4,17,20,7,16,
74,2024,8,26,35,10,21,23,56,13,35,
75,2024,8,27,35,0,3,4,44,4,41,
76,2024,8,28,35,13,55,1,3,-13,8,
77,2024,8,28,35,0,0,0,0,24,0,
78,2024,8,28,35,8,59,14,30,5,31,
79,2024,9,4,36,10,48,18,13,7,25,
80,2024,9,4,36,0,0,0,0,-2,0,수업 시작 까뭄
81,2024,9,6,36,10,58,21,0,10,2,
82,2024,9,6,36,0,0,0,0,-3,0,까먹음..
83,2024,9,9,37,10,45,18,4,7,19,
84,2024,9,10,37,13,17,17,31,4,14,
85,2024,9,11,37,14,53,19,16,4,23,
86,2024,9,11,37,0,0,0,0,-2,0,수업 까먹음
87,2024,9,13,37,9,55,14,26,4,31,
88,2024,9,19,38,13,7,16,48,3,41,
89,2024,9,20,38,10,26,17,57,7,31,
90,2024,9,23,39,9,54,17,33,7,39,
91,2024,9,24,39,9,53,18,6,5,35,
92,2024,9,25,39,0,0,0,0,-1,0,수업 까먹음
93,2024,9,25,39,14,40,19,43,5,3,
94,2024,9,25,39,0,0,0,0,-2,0,흡..
95,2024,9,26,39,10,13,21,1,10,48,
96,2024,9,27,39,11,12,19,42,8,30,
97,2024,9,30,40,11,3,18,12,7,9,
98,2024,10,2,40,8,57,10,4,1,7,
99,2024,10,7,41,10,18,18,16,7,58,
100,2024,10,8,41,0,0,0,0,-1,0,수업시간
101,2024,10,8,41,8,58,19,21,10,23,
