,year,month,day,week,start_hour,start_min,end_hour,end_min,total_hour,total_min,note
0,2024,8,1,31,13,0,18,3,5,3,
1,2024,8,2,31,7,52,16,33,8,41,
2,2024,8,5,32,7,45,18,13,10,28,
3,2024,8,6,32,12,44,18,6,5,22,
4,2024,8,7,32,12,29,18,1,5,32,
5,2024,8,8,32,12,39,18,40,6,1,
6,2024,8,9,32,12,25,18,0,5,35,
7,2024,8,12,33,12,46,18,2,5,16,
8,2024,8,13,33,12,43,18,0,5,17,
9,2024,8,14,33,9,0,18,1,9,1,
10,2024,8,16,33,12,41,18,1,5,20,
11,2024,8,19,34,12,44,18,19,5,35,
12,2024,8,20,34,12,49,18,0,5,11,
13,2024,8,21,34,12,38,18,40,6,2,
14,2024,8,22,34,12,36,18,37,6,1,
15,2024,8,23,34,12,35,17,10,4,35,
16,2024,8,27,35,8,56,18,3,9,7,
17,2024,8,28,35,8,53,17,53,9,0,
18,2024,8,29,35,8,54,15,34,6,40,
19,2024,8,30,35,8,55,18,1,9,6,
20,2024,9,2,36,8,40,18,35,6,36,
21,2024,9,3,36,9,8,18,33,8,43,
22,2024,9,4,36,8,48,18,2,7,3,
23,2024,9,5,36,8,52,18,4,7,1,
24,2024,9,6,36,8,37,17,57,8,35,
25,2024,9,9,37,8,45,18,10,3,34,
26,2024,9,10,37,0,0,0,0,-1,0,수업시작안함
27,2024,9,10,37,8,59,18,3,8,10,
28,2024,9,11,37,8,57,18,57,6,10,
29,2024,9,11,37,0,0,0,0,-2,0,수업시작 안누름 ㅠ
30,2024,9,12,37,8,59,18,4,8,3,
31,2024,9,13,37,8,14,15,0,3,55,
32,2024,9,19,38,8,49,18,3,6,36,
33,2024,9,20,38,8,46,18,4,6,40,
34,2024,9,23,39,8,46,18,4,2,45,
35,2024,9,24,39,0,0,0,0,-2,0,수업할때 적는다는걸 깜박함
36,2024,9,24,39,8,58,18,3,9,5,
37,2024,9,25,39,8,55,16,49,3,55,
38,2024,9,26,39,8,57,19,11,5,56,
39,2024,9,27,39,8,51,18,56,10,5,
40,2024,9,30,40,8,45,18,0,3,5,
41,2024,10,2,40,8,45,16,57,4,22,
42,2024,10,2,40,18,17,19,39,0,1,
43,2024,10,6,40,0,0,0,0,5,0,10/4 서버점검으로 추가
44,2024,10,7,41,8,49,18,11,3,21,
45,2024,10,8,41,8,40,18,5,7,36,
