,year,month,day,week,start_hour,start_min,end_hour,end_min,total_hour,total_min,note
0,2024,9,2,36,10,55,18,35,7,16,
1,2024,9,3,36,11,24,18,33,4,22,
2,2024,9,4,36,11,1,18,45,7,34,
3,2024,9,4,36,0,0,0,0,-1,0,퇴근 안찍음
4,2024,9,5,36,9,54,18,17,5,26,
5,2024,9,6,36,13,39,18,20,4,41,
6,2024,9,9,37,0,0,0,0,-3,0,수업시작안찍음:(
7,2024,9,9,37,0,0,0,0,1,0,싷스
8,2024,9,9,37,12,54,18,13,4,41,
9,2024,9,10,37,9,41,18,21,6,41,
10,2024,9,11,37,0,0,0,0,-2,0,수업시작 안찍음
11,2024,9,11,37,0,0,0,0,-1,0,
12,2024,9,11,37,9,38,20,59,10,40,
13,2024,9,12,37,12,17,18,1,5,44,
14,2024,9,19,38,12,40,20,48,8,8,
15,2024,9,23,39,0,0,0,0,-3,0,수업시작 안찍음:(
16,2024,9,23,39,13,23,18,5,4,42,
17,2024,9,24,39,0,0,0,0,-3,0,수업시작 안띡음
18,2024,9,24,39,11,48,18,25,6,37,
19,2024,9,25,39,15,1,22,40,7,39,
20,2024,9,25,39,0,0,0,0,-4,0,퇴근안직
21,2024,9,26,39,0,0,0,0,-2,0,수업 안찍음..
22,2024,9,26,39,9,51,21,1,11,10,
23,2024,9,27,39,11,52,19,8,7,16,
24,2024,9,28,39,16,32,18,23,1,51,
25,2024,9,30,40,0,0,0,0,-1,0,시작 안찍늠
26,2024,9,30,40,12,14,18,0,4,2,
27,2024,10,2,40,0,0,0,0,-2,0,수업 안찍음
28,2024,10,2,40,0,0,0,0,-1,0,수업 안찍음...
29,2024,10,2,40,9,51,18,56,9,5,
30,2024,10,6,40,0,0,0,0,6,0,시스템 점검으로 추가안됨!
31,2024,10,7,41,0,0,0,0,-3,0,수업쓰안찍음
32,2024,10,7,41,12,45,18,35,5,50,
33,2024,10,8,41,0,0,0,0,-2,0,수업 인찍음
34,2024,10,8,41,9,44,21,24,11,40,
35,2024,10,8,41,0,0,0,0,-2,0,퇴근안짝음
