,year,month,day,week,start_hour,start_min,end_hour,end_min,total_hour,total_min,note
0,2024,3,11,11,10,12,13,22,3,10,
1,2024,3,12,11,11,52,16,28,4,36,
2,2024,3,13,11,10,1,12,50,2,49,
3,2024,3,14,11,11,36,17,29,5,53,
4,2024,3,15,11,10,47,18,2,7,15,
5,2024,3,18,12,10,15,15,10,4,55,
6,2024,3,19,12,13,19,17,14,3,55,
7,2024,3,20,12,10,16,17,49,7,33,
8,2024,3,21,12,13,10,18,0,4,50,
9,2024,3,25,13,9,6,15,8,6,2,
10,2024,3,29,13,12,34,18,0,5,26,
11,2024,3,30,13,9,10,18,55,9,45,
12,2024,4,1,14,9,0,12,15,3,15,
13,2024,4,2,14,12,55,17,58,5,3,
14,2024,4,4,14,0,0,0,0,5,0,봇 재활성화로 인한 시간 수동기입 1330 ~ 1800
15,2024,4,5,14,10,53,17,55,7,2,
16,2024,4,8,15,8,37,12,4,3,27,
17,2024,4,9,15,13,12,17,12,4,0,
18,2024,4,11,15,12,3,19,15,7,12,
19,2024,4,12,15,11,45,15,11,3,26,
20,2024,4,15,16,8,59,15,50,6,51,
21,2024,4,15,16,0,0,0,0,-4,0,퇴근을 늦게 찍음 0900 ~ 1200
22,2024,4,16,16,13,59,20,22,6,23,
23,2024,4,18,16,13,59,18,5,4,6,
24,2024,4,19,16,9,59,18,16,8,17,
25,2024,4,22,17,8,33,10,8,1,35,
26,2024,4,25,17,0,0,0,0,2,0,출퇴근기록미처리 1700 ~ 1900
27,2024,4,29,18,8,59,13,18,4,19,
28,2024,4,30,18,11,34,18,35,7,1,
29,2024,5,2,18,8,55,18,5,9,10,
30,2024,5,3,18,11,53,19,18,7,25,
31,2024,5,7,19,12,17,18,1,5,44,
32,2024,5,13,20,9,27,12,52,3,25,
33,2024,5,14,20,12,57,18,9,5,12,
34,2024,5,20,21,9,31,18,4,8,33,
35,2024,5,21,21,11,14,17,28,6,14,
36,2024,5,22,21,0,0,0,0,2,0,출퇴근기록미처리 0930-1130
37,2024,5,23,21,12,50,21,5,8,15,
38,2024,5,23,21,0,0,0,0,-3,0,퇴근처리까먹음 1230-1830
39,2024,5,24,21,16,0,21,16,5,16,
40,2024,5,27,22,9,26,23,48,14,22,
41,2024,5,27,22,0,0,0,0,-1,0,퇴근처리까먹음 0900-2230
42,2024,5,29,22,11,12,15,17,4,5,
43,2024,5,29,22,0,0,0,0,-2,0,퇴근처리까먹음 1100-1300
44,2024,5,30,22,9,22,12,10,2,48,
45,2024,6,3,23,8,53,18,0,9,7,
46,2024,6,3,23,0,0,0,0,-2,0,수업시간차감
47,2024,6,4,23,15,52,18,41,2,49,
48,2024,6,4,23,0,0,0,0,2,0,출근체크누락
49,2024,6,5,23,11,38,17,56,6,18,
50,2024,6,7,23,11,22,18,1,6,39,
51,2024,6,13,24,0,0,0,0,5,0,출퇴근체크 누락 1030-1800
52,2024,6,13,24,13,14,18,45,5,31,
53,2024,6,14,24,10,45,18,5,7,20,
54,2024,6,17,25,9,3,18,11,9,8,
55,2024,6,19,25,10,54,13,17,2,23,
