,year,month,day,week,start_hour,start_min,end_hour,end_min,total_hour,total_min,note
0,2024,3,11,11,10,14,13,2,2,48,
1,2024,3,12,11,9,10,18,22,9,12,
2,2024,3,13,11,12,31,17,11,3,43,
3,2024,3,14,11,11,9,17,33,6,24,
4,2024,3,18,12,10,44,12,47,2,3,
5,2024,3,18,12,18,19,20,55,2,36,
6,2024,3,19,12,10,55,18,16,7,21,
7,2024,3,20,12,11,31,20,2,5,49,
8,2024,3,21,12,13,10,18,8,4,58,
9,2024,3,22,12,14,25,18,1,3,36,
10,2024,3,26,13,10,59,19,13,8,14,
11,2024,3,27,13,15,35,16,52,1,17,
12,2024,3,28,13,13,3,21,26,8,23,
13,2024,3,29,13,13,13,17,58,4,45,
14,2024,3,30,13,12,56,18,52,5,56,
15,2024,4,1,14,11,21,11,42,0,21,
16,2024,4,2,14,12,58,18,10,5,12,
17,2024,4,3,14,14,38,18,28,3,50,
18,2024,4,3,14,0,0,0,0,-1,0,수업늦게찍음
19,2024,4,4,14,0,0,0,0,7,0,봇 수정으로인한출퇴근 오류
20,2024,4,8,15,11,49,13,0,1,11,
21,2024,4,9,15,10,39,18,50,8,11,
22,2024,4,11,15,10,32,16,45,6,13,
23,2024,4,12,15,10,20,17,28,7,8,
24,2024,4,15,16,15,9,19,44,4,35,
25,2024,4,16,16,10,26,18,20,7,54,
26,2024,4,17,16,13,17,16,57,3,40,
27,2024,4,18,16,12,2,16,56,4,54,
28,2024,4,18,16,0,0,0,0,-1,0, 퇴근 늦음
29,2024,4,23,17,11,18,18,36,7,18,
30,2024,4,24,17,10,47,16,50,6,3,
31,2024,4,25,17,13,48,20,24,6,36,
32,2024,4,30,18,10,34,19,51,9,17,
33,2024,5,2,18,10,44,18,55,8,11,
34,2024,5,7,19,12,24,18,52,6,28,
35,2024,5,8,19,15,45,16,57,1,12,
36,2024,5,14,20,13,38,18,45,5,7,
37,2024,5,16,20,12,1,18,33,6,32,
38,2024,5,17,20,9,18,12,57,3,39,
39,2024,5,20,21,11,15,13,15,2,0,
40,2024,5,21,21,13,6,17,51,4,45,
41,2024,5,22,21,14,24,17,45,3,21,
42,2024,5,23,21,12,43,17,45,5,2,
43,2024,5,27,22,11,11,16,58,5,47,
