,year,month,day,week,start_hour,start_min,end_hour,end_min,total_hour,total_min,note
0,2024,7,1,27,13,20,18,29,5,9,
1,2024,7,2,27,12,55,18,20,5,25,
2,2024,7,3,27,12,55,18,5,5,10,
3,2024,7,4,27,12,58,19,58,7,0,
4,2024,7,4,27,0,0,0,0,-2,0,
5,2024,7,5,27,12,57,21,7,8,10,
6,2024,7,5,27,0,0,0,0,-3,0,
7,2024,7,8,28,13,0,18,9,5,9,
8,2024,7,9,28,14,30,18,33,4,3,
9,2024,7,9,28,0,0,0,0,1,0,출근 늦게누름
10,2024,7,10,28,12,57,18,22,5,25,
11,2024,7,11,28,12,52,18,16,5,24,
12,2024,7,12,28,12,57,18,24,5,27,
13,2024,7,15,29,12,59,18,41,5,42,
14,2024,7,16,29,12,59,18,16,5,17,
15,2024,7,17,29,12,55,18,31,5,36,
16,2024,7,18,29,8,54,18,34,9,40,
17,2024,7,19,29,0,0,0,0,7,0, 출근안누름
18,2024,7,22,30,12,55,18,12,5,17,
19,2024,7,23,30,12,55,18,32,5,37,
20,2024,7,24,30,12,54,18,1,5,7,
21,2024,7,25,30,12,55,21,10,8,15,
22,2024,7,25,30,0,0,0,0,-3,0,퇴근안찍음
23,2024,7,26,30,13,5,18,6,5,1,
24,2024,7,29,31,10,10,18,2,7,52,
25,2024,7,30,31,12,51,18,57,6,6,
26,2024,7,30,31,0,0,0,0,-1,0,
27,2024,7,31,31,13,7,18,4,4,57,
28,2024,8,1,31,12,58,18,2,5,4,
29,2024,8,2,31,8,0,16,37,8,37,
30,2024,8,5,32,7,55,18,13,10,18,
31,2024,8,6,32,8,57,15,6,6,9,
32,2024,8,7,32,10,52,15,13,4,21,
33,2024,8,7,32,0,0,0,0,2,0,출근 안찍힘!!!!
34,2024,8,8,32,8,55,15,24,6,29,
35,2024,8,9,32,8,55,14,2,5,7,
36,2024,8,12,33,9,1,20,58,11,57,
37,2024,8,12,33,0,0,0,0,-6,0,
38,2024,8,14,33,9,1,16,9,7,8,
39,2024,8,16,33,9,0,16,2,7,2,
40,2024,8,19,34,12,56,18,20,5,24,
41,2024,8,20,34,13,7,18,0,4,53,
42,2024,8,21,34,13,3,18,40,5,37,
43,2024,8,22,34,13,9,18,37,5,28,
44,2024,8,23,34,13,7,17,19,4,12,
45,2024,8,27,35,13,6,18,4,4,58,
46,2024,8,28,35,9,7,17,59,8,52,
47,2024,8,29,35,8,54,15,37,6,43,
48,2024,8,30,35,12,52,18,3,5,11,
49,2024,9,2,36,8,40,20,23,8,42,
50,2024,9,2,36,0,0,0,0,-2,0,퇴근안찍음
51,2024,9,3,36,9,6,18,33,8,44,
52,2024,9,4,36,10,45,18,2,5,53,
53,2024,9,5,36,0,0,0,0,-1,0,수업 안찍음
54,2024,9,5,36,10,47,18,5,7,18,
55,2024,9,6,36,12,59,16,5,3,6,
56,2024,9,9,37,12,23,21,26,6,34,
57,2024,9,10,37,11,51,21,0,9,9,
58,2024,9,11,37,0,0,0,0,-1,0,수업시작 늦게 누름
59,2024,9,11,37,12,4,19,29,4,48,
60,2024,9,12,37,10,54,11,38,0,44,
61,2024,9,19,38,16,43,18,8,1,25,
62,2024,9,20,38,9,39,18,4,8,25,
63,2024,9,23,39,0,0,0,0,-1,0,수업시작 늦게찍음
64,2024,9,23,39,8,46,18,11,3,43,
65,2024,9,24,39,11,47,18,7,6,20,
66,2024,9,25,39,15,15,18,58,3,43,
67,2024,9,25,39,0,0,0,0,-2,0,퇴근 늦게 찍음
68,2024,9,26,39,10,54,19,39,5,24,
69,2024,9,27,39,11,5,18,0,6,55,
70,2024,9,30,40,13,13,18,1,1,51,
71,2024,10,2,40,0,0,0,0,-2,0,수업 안찍음
72,2024,10,2,40,9,0,19,39,8,49,
73,2024,10,2,40,0,0,0,0,-3,0,수업 안찍음
74,2024,10,7,41,17,4,21,15,4,11,
75,2024,10,7,41,0,0,0,0,-3,0,퇴근 안찍음
76,2024,10,8,41,8,53,18,5,9,12,
77,2024,10,8,41,0,0,0,0,-2,0,수업 안찍음
