,year,month,day,week,start_hour,start_min,end_hour,end_min,total_hour,total_min,note
0,2024,3,11,11,12,19,18,31,6,12,
1,2024,3,12,11,9,0,14,48,3,31,
2,2024,3,13,11,9,52,18,18,5,31,
3,2024,3,14,11,10,59,17,32,3,43,
4,2024,3,15,11,12,47,16,55,4,8,
5,2024,3,19,12,15,45,17,59,2,14,
6,2024,3,19,12,11,59,17,59,2,11,
7,2024,3,20,12,12,3,17,48,5,45,
8,2024,3,21,12,13,58,18,8,3,31,
9,2024,3,22,12,11,16,18,1,6,45,
10,2024,3,25,13,11,51,18,53,5,49,
11,2024,3,26,13,12,5,14,12,1,0,
12,2024,3,27,13,11,43,17,4,4,31,
13,2024,3,28,13,14,8,16,56,2,48,
14,2024,3,30,13,14,21,2,29,-12,8,
15,2024,4,1,14,12,18,18,31,3,15,
16,2024,4,2,14,11,52,18,3,2,30,
17,2024,4,3,14,14,53,17,42,2,49,
18,2024,4,4,14,0,0,0,0,3,0,4.4.봇 업데이트로 인한 추가 1500 ~ 1800
19,2024,4,5,14,12,45,17,44,4,59,
20,2024,4,8,15,12,0,18,12,4,58,
21,2024,4,9,15,9,39,18,1,3,28,
22,2024,4,11,15,13,54,18,9,3,22,
23,2024,4,12,15,12,9,13,51,1,42,
24,2024,4,15,16,13,47,19,9,4,14,
25,2024,4,16,16,12,3,20,0,5,24,
26,2024,4,17,16,11,46,22,1,10,15,
27,2024,4,17,16,0,0,0,0,-4,0,퇴근을늦게누름
28,2024,4,18,16,13,54,18,12,4,2,
29,2024,4,19,16,12,29,17,44,5,15,
30,2024,4,22,17,8,22,15,55,4,46,
31,2024,4,24,17,11,20,17,6,5,46,
32,2024,4,26,17,12,42,17,59,5,17,
33,2024,4,29,18,11,58,18,54,5,23,
34,2024,4,30,18,13,0,17,43,1,34,
35,2024,5,2,18,14,16,18,29,4,13,
36,2024,5,3,18,12,44,17,2,4,18,
37,2024,5,7,19,12,0,17,12,5,12,
38,2024,5,7,19,0,0,0,0,-3,0,수업시간수정
39,2024,5,8,19,11,47,22,11,10,24,
40,2024,5,13,20,13,10,18,2,4,52,
41,2024,5,14,20,12,11,17,46,2,53,
42,2024,5,16,20,15,57,20,9,4,12,
43,2024,5,20,21,14,46,19,36,4,50,
44,2024,5,22,21,15,25,18,7,2,42,
45,2024,5,23,21,15,24,19,1,3,37,
46,2024,5,24,21,14,29,21,52,7,23,
47,2024,5,27,22,15,6,23,53,8,47,
48,2024,6,3,23,14,23,18,40,4,17,
49,2024,6,10,24,13,35,18,0,4,25,
50,2024,6,13,24,16,18,18,24,2,6,
51,2024,6,14,24,14,12,21,10,6,58,
52,2024,6,14,24,0,0,0,0,-3,0,퇴근안찍음
53,2024,6,17,25,9,9,18,17,9,8,
54,2024,6,20,25,14,6,21,0,6,54,
55,2024,7,8,28,12,44,20,2,7,18,
56,2024,7,9,28,9,22,21,49,12,27,
57,2024,7,9,28,0,0,0,0,-3,0,퇴근안찍음
58,2024,7,10,28,12,55,18,22,5,27,
59,2024,7,11,28,11,22,21,0,9,38,
60,2024,7,11,28,0,0,0,0,-3,0,퇴근안찍음
61,2024,7,12,28,13,4,21,1,7,57,
62,2024,7,12,28,0,0,0,0,-3,0,퇴근안찍음
63,2024,7,15,29,13,22,18,41,5,19,
64,2024,7,16,29,14,7,18,16,4,9,
65,2024,7,17,29,12,55,18,30,5,35,
66,2024,7,18,29,9,16,18,34,9,18,
67,2024,7,19,29,11,29,21,3,9,34,
68,2024,7,19,29,0,0,0,0,-3,0,퇴근안찍음
69,2024,7,22,30,13,1,21,1,8,0,
70,2024,7,22,30,0,0,0,0,-3,0,퇴근안찍음
71,2024,7,23,30,13,4,17,59,4,55,
72,2024,7,24,30,12,48,17,58,5,10,
73,2024,7,25,30,12,51,18,1,5,10,
74,2024,7,26,30,12,48,18,6,5,18,
75,2024,7,29,31,12,48,18,2,5,14,
76,2024,7,30,31,13,2,18,57,5,55,
77,2024,7,31,31,0,0,0,0,-1,0,퇴근안찍음
78,2024,7,31,31,12,56,18,5,5,9,
79,2024,8,1,31,9,1,15,52,6,51,
80,2024,8,2,31,7,50,16,37,8,47,
81,2024,8,5,32,13,30,18,3,4,33,
82,2024,8,6,32,12,42,18,6,5,24,
83,2024,8,7,32,13,39,18,3,4,24,
84,2024,8,8,32,12,54,18,40,5,46,
85,2024,8,9,32,12,51,16,23,3,32,
86,2024,8,12,33,13,3,18,5,5,2,
87,2024,8,13,33,0,0,0,0,6,0,출근을안찍음
88,2024,8,13,33,18,2,18,2,0,0,
89,2024,8,14,33,13,1,21,20,8,19,
90,2024,8,14,33,0,0,0,0,-3,0,퇴근안찍음...
91,2024,8,16,33,13,6,18,2,4,56,
92,2024,8,19,34,10,18,16,52,6,34,
93,2024,8,21,34,13,4,18,37,5,33,
94,2024,8,22,34,13,45,18,37,4,52,
95,2024,8,27,35,14,32,23,40,9,8,
96,2024,8,28,35,9,38,18,4,8,26,
97,2024,8,30,35,12,59,21,7,8,8,
98,2024,9,2,36,8,55,18,1,3,7,
99,2024,9,2,36,0,0,0,0,4,0,종료안찍음
100,2024,9,3,36,15,55,18,33,2,38,
101,2024,9,4,36,0,0,0,0,4,0,출근안찌긍ㅁ
102,2024,9,5,36,13,40,18,4,4,24,
103,2024,9,6,36,14,40,17,57,3,17,
104,2024,9,9,37,11,42,21,27,9,45,
105,2024,9,11,37,11,17,2,5,-10,48,
106,2024,9,11,37,15,18,17,42,2,24,
107,2024,9,11,37,0,0,0,0,2,0,출근안찍음
108,2024,9,20,38,13,16,17,56,4,40,
109,2024,9,23,39,11,59,18,28,6,29,
110,2024,9,23,39,0,0,0,0,-3,0,수업안찍음
111,2024,9,24,39,10,48,21,0,10,12,
112,2024,9,24,39,0,0,0,0,-6,0,퇴근늦게랑수업안찍음
113,2024,9,26,39,11,49,18,48,6,59,
114,2024,9,27,39,11,21,20,36,9,15,
115,2024,9,27,39,0,0,0,0,-3,0,안찌음
116,2024,9,30,40,0,0,0,0,3,0,출근안찍음
117,2024,10,2,40,15,4,21,0,5,56,
118,2024,10,2,40,0,0,0,0,-2,0,퇴근안찍음
119,2024,10,7,41,0,0,0,0,-3,0,수업안찍음
120,2024,10,7,41,11,54,21,15,9,21,
121,2024,10,7,41,0,0,0,0,-3,0,퇴근안찍음
